id,name,slug,reference,marque,rubrique,categorie,famille,description,url_image1,url_image2,url_image3,url_image4,url_image5,price,colors,sizes,stock,weight,badge,is_active,is_featured,is_new,is_bestseller,rating,reviews_count,created_at,updated_at,category_id,subcategory_id,care_instructions,origin_country,collection_name,seo_title,seo_description,price_wholesale,wholesale_min_qty,is_available_on_site
1,Luminaire LED en cercle moderne,luminaire-led-en-cercle-moderne,5969,,Luminaires > Luminaires suspendus > Lustres,Lustres,,"Ce luminaire suspendu moderne se caractérise par ses anneaux lumineux en forme de cercles concentriques, apportant une touche élégante et contemporaine à l’espace intérieur. Idéal pour embellir un salon, une salle à manger ou une entrée, il diffuse une lumière douce et harmonieuse, créant une ambiance chaleureuse. Sa structure épurée et ses lignes fluides en font une pièce décorative à part entière, apportant style et luminosité à votre décor marocain moderne.",backend/uploads/products/photo-2026-06-08-15-41-30.jpg,,,,,680.00,"[""Blanc""]",[],0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
2,Lustre en métal doré au design contemporain,lustre-en-metal-dore-au-design-contemporain,4013,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réception, ce luminaire diffuse une lumière chaleureuse et crée une ambiance accueillante et tendance. Sa composition en disques de différentes tailles offre un effet visuel dynamique, faisant de cette pièce un véritable objet de décoration autant qu’un source de lumière fonctionnelle.",backend/uploads/products/photo-2026-06-08-15-42-14-2.jpg,,,,,1850.00,"[""Doré"",""Noir""]",[],0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
3,Lustre moderne en métal et verre,lustre-moderne-en-metal-et-verre,1167/65,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente une structure moderne avec un design élégant composé de nombreuses tiges métalliques dorées et de disques en verre de différentes tailles. Il diffuse une lumière chaleureuse et décorative, idéale pour mettre en valeur un espace de réception ou un salon sophistiqué. Sa finition métallique dorée et ses éléments en verre confèrent un style contemporain et raffiné à tout intérieur marocain contemporain.",backend/uploads/products/photo-2026-06-08-15-42-14.jpg,,,,,850.00,"[""Doré""]",[],0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
4,Lustre suspendu en cristal au design contemporain,lustre-suspendu-en-cristal-au-design-contemporain,7303,,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu est conçu avec une structure en métal doré ornée de multiples cristaux colorés, offrant un style moderne et élégant. Idéal pour illuminer un hall d'entrée, un salon ou une salle à manger, il diffuse une lumière chaleureuse et crée une ambiance raffinée. Sa conception décorative et ses couleurs vives apportent une touche de sophistication et de dynamisme à votre intérieur marocain, s'intégrant parfaitement dans un espace contemporain ou éclectique.",backend/uploads/products/photo-2026-06-08-15-42-15-3.jpg,,,,,5500.00,"[""Doré"",""Rouge"",""Bleu"",""Jaune""]","[""80×180""]",0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
5,Lustre en cristal doré,lustre-en-cristal-dore,5018,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design élégant est orné de nombreux cristaux transparents qui diffusent la lumière pour créer une ambiance chaleureuse et sophistiquée. Sa finition en doré accentue son style moderne et luxueux, idéal pour illuminer un salon, une salle à manger ou une entrée. Sa structure légère et ses multiples branches offrent une installation facile tout en apportant une touche de confort et de richesse à votre intérieur marocain contemporain.",backend/uploads/products/photo-2026-06-08-15-42-16-2.jpg,,,,,5500.00,"[""Transparent"",""Doré""]","[""80×180""]",0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
6,Lampe suspendue en verre coloré,lampe-suspendue-en-verre-colore,7301,,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu se caractérise par une structure en métal doré orné de nombreuses pampilles en verre coloré dans des nuances de bleu, jaune, orange, rouge, et transparent. Son design élégant et lumineux apportera une touche sophistiquée et chaleureuse à une pièce de vie, une salle à manger ou un hall d'entrée. La diffusion de la lumière à travers ses pampilles en verre crée une ambiance accueillante et décorative, idéale pour un intérieur moderne ou classique revisité.",backend/uploads/products/photo-2026-06-08-15-42-16.jpg,,,,,8500.00,"[""Bleu"",""Jaune"",""Orange"",""Rouge"",""Transparent""]","[""80x180""]",0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
7,Lustre suspendu en cristal contemporain,lustre-suspendu-en-cristal-contemporain,2241,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu en cristal offre un design contemporain avec ses longues tiges en verre coloré et sa structure dorée. Il diffuse une lumière élégante et sophistiquée, idéale pour illuminer et décorer un salon ou une salle à manger. Son style moderne et raffiné apporte une touche de luxe et de modernité à tout intérieur marocain. Parfait pour créer une ambiance chaleureuse et accueillante dans les espaces de vie ou de réception.",backend/uploads/products/photo-2026-06-08-15-42-17-2.jpg,,,,,6500.00,"[""Bleu"",""Jaune"",""Transparent""]","[""60×180""]",0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
8,Lustre en cristal doré à multiple chaînes,lustre-en-cristal-dore-a-multiple-chaines,8338/45,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",backend/uploads/products/photo-2026-06-08-15-42-17-3.jpg,,,,,790.00,"[""Transparent"",""Doré""]",[],0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
9,Lustre en cristal doré à multi-chaînes,lustre-en-cristal-dore-a-multi-chaines,8338/55,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",backend/uploads/products/photo-2026-06-08-15-42-17-3.jpg,,,,,1100.00,"[""Transparent"",""Doré""]",[],0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
10,Lustre en cristal doré à longues chaînes,lustre-en-cristal-dore-a-longues-chaines,8338/80,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu habille élégamment un espace intérieur avec son design en cristal étincelant. Son cadre doré supporte une multitude de cristaux taillés qui diffusent une lumière douce et raffinée. Parfait pour embellir un salon, une salle à manger ou une entrée, il apporte une touche de luxe et de brillance à votre décoration. Son style classique avec une touche moderne s’intègre harmonieusement dans une décoration intérieure sophistiquée et contemporaine, créant une ambiance chaleureuse et élégante.",backend/uploads/products/photo-2026-06-08-15-42-17-3.jpg,,,,,1200.00,"[""Transparent"",""Doré""]","[""30""]",0,,,true,false,false,false,0,0,,,,,,Chine,,,,,,true
