original_name,detected_extension,image_key,reason,match_v2_reason,match_v2_clean_key,match_v2_candidates
1750.  #1,.jpg,1750,aucune,aucune-correspondance,1750,[]
1750.  #2,.jpg,1750,aucune,aucune-correspondance,1750,[]
1750.  #3,.jpg,1750,aucune,aucune-correspondance,1750,[]
1750.  #4,.jpg,1750,aucune,aucune-correspondance,1750,[]
1752.  #1,.jpg,1752,aucune,aucune-correspondance,1752,[]
1752.  #2,.jpg,1752,aucune,aucune-correspondance,1752,[]
1752.  #3,.jpg,1752,aucune,aucune-correspondance,1752,[]
1752.  #4,.jpg,1752,aucune,aucune-correspondance,1752,[]
175_90cm.jpg,.jpg,17590cm,aucune,aucune-correspondance,17590,[]
25209.  #1,.jpg,25209,aucune,aucune-correspondance,25209,[]
25209.  #2,.jpg,25209,aucune,aucune-correspondance,25209,[]
25209.  #3,.jpg,25209,aucune,aucune-correspondance,25209,[]
25209.  #4,.jpg,25209,aucune,aucune-correspondance,25209,[]
2626_2-1-2 (white).jpg,.jpg,2626212white,aucune,aucune-correspondance,2626212,[]
2765_66 (blue).jpg,.jpg,276566blue,aucune,aucune-correspondance,276566,[]
2765_66 (yellow).jpg,.jpg,276566yellow,aucune,aucune-correspondance,276566,[]
2800.jpg,.jpg,2800,aucune,aucune-correspondance,2800,[]
2817_3-1-2-3 (dark green).png,.png,28173123darkgreen,aucune,aucune-correspondance,28173123dark,[]
2817_3-1-2-3 (white).  #1,.png,28173123white,aucune,aucune-correspondance,28173123,[]
2817_3-1-2-3 (white).  #2,.png,28173123white,aucune,aucune-correspondance,28173123,[]
2817_3-1-2-3 (white).  #3,.png,28173123white,aucune,aucune-correspondance,28173123,[]
2817_3-1-2-3 (white).  #4,.png,28173123white,aucune,aucune-correspondance,28173123,[]
2914.jpg,.jpg,2914,aucune,aucune-correspondance,2914,[]
3029.  #1,.png,3029,aucune,aucune-correspondance,3029,[]
3029.  #2,.png,3029,aucune,aucune-correspondance,3029,[]
3029.  #3,.png,3029,aucune,aucune-correspondance,3029,[]
3029.  #4,.png,3029,aucune,aucune-correspondance,3029,[]
3102_03_04 (dark green).jpg,.jpg,31020304darkgreen,aucune,aucune-correspondance,31020304dark,[]
380(1).  #1,.jpg,3801,aucune,aucune-correspondance,3801,[]
