original_name,detected_extension_report,detected_extension_real,matched_reference,normalized_reference,match_method,match_score,image_key,source_file,renamed_file,csv_path
077_.png,.png,.png,077.,077,exact-normalise,100,077,meubles\077_.png,077-001.png,backend/uploads/products/077-001.png
09865_9R.  #1,.png,.png,09865/9R,098659r,exact-normalise,100,098659r,meubles\09865_9R.  #1,09865-9r-001.png,backend/uploads/products/09865-9r-001.png
09865_9R.  #2,.png,.png,09865/9R,098659r,exact-normalise,100,098659r,meubles\09865_9R.  #2,09865-9r-002.png,backend/uploads/products/09865-9r-002.png
09865_9R.  #3,.png,.png,09865/9R,098659r,exact-normalise,100,098659r,meubles\09865_9R.  #3,09865-9r-003.png,backend/uploads/products/09865-9r-003.png
09865_9R.  #4,.png,.png,09865/9R,098659r,exact-normalise,100,098659r,meubles\09865_9R.  #4,09865-9r-004.png,backend/uploads/products/09865-9r-004.png
118.png,.png,.png,118,118,exact-normalise,100,118,meubles\118.png,118-001.png,backend/uploads/products/118-001.png
11813_1 bk. #1,.jpg,.jpg,11813/1 bk,118131bk,exact-normalise,100,118131,meubles\11813_1 bk. #1,11813-1-bk-001.jpg,backend/uploads/products/11813-1-bk-001.jpg
11813_1 bk. #2,.jpg,.jpg,11813/1 bk,118131bk,exact-normalise,100,118131,meubles\11813_1 bk. #2,11813-1-bk-002.jpg,backend/uploads/products/11813-1-bk-002.jpg
11813_1 bk. #3,.jpg,.jpg,11813/1 bk,118131bk,exact-normalise,100,118131,meubles\11813_1 bk. #3,11813-1-bk-003.jpg,backend/uploads/products/11813-1-bk-003.jpg
11813_1 bk. #4,.jpg,.jpg,11813/1 bk,118131bk,exact-normalise,100,118131,meubles\11813_1 bk. #4,11813-1-bk-004.jpg,backend/uploads/products/11813-1-bk-004.jpg
12209.    #1,.jpg,.jpg,12209,12209,exact-normalise,100,12209,meubles\12209.    #1,12209-001.jpg,backend/uploads/products/12209-001.jpg
12209.    #2,.jpg,.jpg,12209,12209,exact-normalise,100,12209,meubles\12209.    #2,12209-002.jpg,backend/uploads/products/12209-002.jpg
12209.    #3,.jpg,.jpg,12209,12209,exact-normalise,100,12209,meubles\12209.    #3,12209-003.jpg,backend/uploads/products/12209-003.jpg
12209.    #4,.jpg,.jpg,12209,12209,exact-normalise,100,12209,meubles\12209.    #4,12209-004.jpg,backend/uploads/products/12209-004.jpg
131.png,.png,.png,131,131,exact-normalise,100,131,meubles\131.png,131-001.png,backend/uploads/products/131-001.png
