name,slug,reference,marque,rubrique,categorie,famille,description,features,specs,url_image1,url_image2,url_image3,url_image4,url_image5,price,sale_price,discount_percent,colors,sizes,stock,weight,badge,is_active,is_featured,is_new,is_bestseller,rating,reviews_count
EGLO 11769 - LED - LM_LED_E27,eglo-11769-led-lm-led-e27,11769,EGLO,ampoule,led,LM_LED_E27,"11769 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau A"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""11769"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""A""}",https://www.monluminaire.ma/16381-large_default/eglo-11769-lmlede27.jpg,,,,,2689.0,14.0,99,[],"[""standard""]",0,,-99%,True,False,False,False,0.0,0
11896 - LED - LM_LED_E27,11896-led-lm-led-e27,11896,Rubrique,ampoule,led,LM_LED_E27,"11896 - LM_LED_E27, ampoule de type led , du leader mondial du luminaire , garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau C"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""11896"", ""Marque"": ""Rubrique"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""C""}",https://www.monluminaire.ma/16978-large_default/11896-led-lmlede27.jpg,,,,,889.0,6.0,99,[],"[""standard""]",0,,-99%,True,False,False,False,0.0,0
EGLO 110018 - LED - LM_LED_E14,eglo-110018-led-lm-led-e14,110018,EGLO,ampoule,led,LM_LED_E14,"110018 - LM_LED_E14, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110018"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E14"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17045-large_default/eglo-110018-led-lmlede14.jpg,,,,,14989.0,6.0,100,[],"[""standard""]",578,,-100%,True,False,False,False,0.0,0
EGLO 110069 - LED - LM_LED_E14,eglo-110069-led-lm-led-e14,110069,EGLO,ampoule,led,LM_LED_E14,"110069 - LM_LED_E14, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110069"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E14"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17037-large_default/eglo-110069-led-lmlede14.jpg,,,,,389.0,14.0,96,[],"[""standard""]",671,,-96%,True,False,False,False,0.0,0
EGLO 110065 - LED - LM_LED_E27,eglo-110065-led-lm-led-e27,110065,EGLO,ampoule,led,LM_LED_E27,"110065 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110065"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17040-large_default/eglo-110065-led-lmlede27.jpg,,,,,599.0,14.0,98,[],"[""standard""]",1411,,-98%,True,False,False,False,0.0,0
EGLO 110004 - LED - LM_LED_E27,eglo-110004-led-lm-led-e27,110004,EGLO,ampoule,led,LM_LED_E27,"110004 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110004"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/15767-large_default/eglo-39714-suspension-nucetto.jpg,,,,,9889.0,14.0,100,[],"[""standard""]",2780,,-100%,True,False,False,False,0.0,0
EGLO 110062 - LED - LM_LED_E27,eglo-110062-led-lm-led-e27,110062,EGLO,ampoule,led,LM_LED_E27,"110062 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110062"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17042-large_default/eglo-110062-led-lmlede27.jpg,,,,,2689.0,14.0,99,[],"[""standard""]",409,,-99%,True,False,False,False,0.0,0
EGLO 110063 - LED - LM_LED_E27,eglo-110063-led-lm-led-e27,110063,EGLO,ampoule,led,LM_LED_E27,"110063 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110063"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17041-large_default/eglo-110063-led-lmlede27.jpg,,,,,1689.0,14.0,99,[],"[""standard""]",1034,,-99%,True,False,False,False,0.0,0
EGLO 110066 - LED - LM_LED_E27,eglo-110066-led-lm-led-e27,110066,EGLO,ampoule,led,LM_LED_E27,"110066 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110066"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17039-large_default/eglo-110066-led-lmlede27.jpg,https://www.monluminaire.ma/15724-large_default/eglo-39661-suspension-counuzulus.jpg,,,,3989.0,14.0,100,[],"[""standard""]",296,,-100%,True,False,False,False,0.0,0
EGLO 110067 - LED - LM_LED_E27,eglo-110067-led-lm-led-e27,110067,EGLO,ampoule,led,LM_LED_E27,"110067 - LM_LED_E27, Ampoule de type led , du leader mondial du luminaire EGLO, garantie 2 ans. Ce luminaire possède un beau design avec une finition en . Vous pouvez l'acheter ici à un prix avantageux.","[""Garantie 2 ans"", ""Réseau E"", ""Livraison partout au Maroc"", ""Service après vente"", ""Garantie assurée""]","{""Garantie"": ""2 ans"", ""Référence"": ""110067"", ""Marque"": ""EGLO"", ""Rubrique"": ""ampoule"", ""Catégorie"": ""led"", ""Nom de famille"": ""LM_LED_E27"", ""Réseau"": ""E""}",https://www.monluminaire.ma/17038-large_default/eglo-110067-led-lmlede27.jpg,,,,,7789.0,29.0,100,[],"[""standard""]",398,,-100%,True,False,False,False,0.0,0
