original_name,image_key,clean_key,candidate_count,candidates,reason
077_.png,077,077,0,[],aucune-correspondance
09865_9R.  #1,098659r,098659r,0,[],aucune-correspondance
09865_9R.  #2,098659r,098659r,0,[],aucune-correspondance
09865_9R.  #3,098659r,098659r,0,[],aucune-correspondance
09865_9R.  #4,098659r,098659r,0,[],aucune-correspondance
118.png,118,118,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
11813_1 bk. #1,118131bk,118131,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
11813_1 bk. #2,118131bk,118131,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
11813_1 bk. #3,118131bk,118131,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
11813_1 bk. #4,118131bk,118131,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
12209.    #1,12209,12209,5,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]",ambigu
12209.    #2,12209,12209,5,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]",ambigu
12209.    #3,12209,12209,5,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]",ambigu
12209.    #4,12209,12209,5,"[""2450/1"", ""2455/1"", ""2882/1"", ""L006/12"", ""MX 65 /12""]",ambigu
131.png,131,131,4,"[""2450/1"", ""2455/1"", ""2882/1"", ""L012/13""]",ambigu
1701.  #1,1701,1701,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1701.  #2,1701,1701,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1701.  #3,1701,1701,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1701.  #4,1701,1701,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
171_90.jpg,17190,17190,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
173_.jpg,173,173,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1750.  #1,1750,1750,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1750.  #2,1750,1750,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1750.  #3,1750,1750,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1750.  #4,1750,1750,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1752.  #1,1752,1752,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1752.  #2,1752,1752,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1752.  #3,1752,1752,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
1752.  #4,1752,1752,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
175_90cm.jpg,17590cm,17590,3,"[""2450/1"", ""2455/1"", ""2882/1""]",ambigu
2026 F   #1.png,2026f,2026f,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2026 F   #2.png,2026f,2026f,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2026 F   #3.png,2026f,2026f,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2026 F   #4.png,2026f,2026f,3,"[""2450/2"", ""2455/2"", ""2882/2""]",ambigu
2101_.png,2101,2101,6,"[""2450/2"", ""2455/2"", ""2882/2"", ""8144/2-1"", ""8274/2-1"", ""8420/2-1""]",ambigu
