source_json,image_index,product_index,detected_product_type,rubrique,categorie,famille,description,colors,price_box_regions,logo_regions,warnings,reference,name,size,price,confidence_reference,confidence_price
PHOTO-2026-06-08-15-41-30.json,1,1,Luminaire suspendu à LED en forme de cercles concentriques,Luminaires > Luminaires suspendus > Lustres,Lustres,,"Ce luminaire suspendu moderne se caractérise par ses anneaux lumineux en forme de cercles concentriques, apportant une touche élégante et contemporaine à l’espace intérieur. Idéal pour embellir un salon, une salle à manger ou une entrée, il diffuse une lumière douce et harmonieuse, créant une ambiance chaleureuse. Sa structure épurée et ses lignes fluides en font une pièce décorative à part entière, apportant style et luminosité à votre décor marocain moderne.","[""Blanc""]","[{""x_min"":0.75,""y_min"":0.05,""x_max"":0.95,""y_max"":0.15,""confidence"":0.99}]",[],[],5969,Luminaire LED en cercle moderne,,680.0,0.95,0.95
PHOTO-2026-06-08-15-42-14 2.json,1,1,Lustre,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réception, ce luminaire diffuse une lumière chaleureuse et crée une ambiance accueillante et tendance. Sa composition en disques de différentes tailles offre un effet visuel dynamique, faisant de cette pièce un véritable objet de décoration autant qu’un source de lumière fonctionnelle.","[""Doré"",""Noir""]","[{""x_min"":0.847,""y_min"":0.878,""x_max"":0.959,""y_max"":0.932,""confidence"":0.95},{""x_min"":0.834,""y_min"":0.944,""x_max"":0.954,""y_max"":0.997,""confidence"":0.92}]","[{""x_min"":0.939,""y_min"":0.687,""x_max"":0.986,""y_max"":0.757,""confidence"":0.88}]",[],4013,Lustre en métal doré au design contemporain,,1850.0,0.95,0.98
PHOTO-2026-06-08-15-42-14 2.json,1,2,Lustre,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réception, ce luminaire diffuse une lumière chaleureuse et crée une ambiance accueillante et tendance. Sa composition en disques de différentes tailles offre un effet visuel dynamique, faisant de cette pièce un véritable objet de décoration autant qu’un source de lumière fonctionnelle.","[""Doré"",""Noir""]","[{""x_min"":0.847,""y_min"":0.878,""x_max"":0.959,""y_max"":0.932,""confidence"":0.95},{""x_min"":0.834,""y_min"":0.944,""x_max"":0.954,""y_max"":0.997,""confidence"":0.92}]","[{""x_min"":0.939,""y_min"":0.687,""x_max"":0.986,""y_max"":0.757,""confidence"":0.88}]",[],4013,Lustre en métal doré au design contemporain,,2850.0,0.95,0.97
PHOTO-2026-06-08-15-42-14.json,1,1,Lustre suspendu en métal et verre,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente une structure moderne avec un design élégant composé de nombreuses tiges métalliques dorées et de disques en verre de différentes tailles. Il diffuse une lumière chaleureuse et décorative, idéale pour mettre en valeur un espace de réception ou un salon sophistiqué. Sa finition métallique dorée et ses éléments en verre confèrent un style contemporain et raffiné à tout intérieur marocain contemporain.","[""Doré""]","[{""x_min"":0.55,""y_min"":0.19,""x_max"":0.65,""y_max"":0.28,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.84,""x_max"":0.96,""y_max"":0.96,""confidence"":0.88}]",[],1167/65,Lustre moderne en métal et verre,,850.0,0.95,0.92
PHOTO-2026-06-08-15-42-15 2.json,1,1,Lustre chandelier en cristal,Décoration,Lustre,,"Ce lustre suspendu en cristal sophistiqué ajoute une touche d'élégance et de luxe à tout espace intérieur. Il présente une structure métallique supportant de nombreux pendentifs en cristal taillé qui diffusent la lumière avec éclat, créant une ambiance chaleureuse et raffinée dans un salon, une salle à manger ou une entrée. Son design classique et ses cristaux brillants en font une pièce maîtresse idéale pour valoriser une décoration intérieure sophistiquée ou contemporaine, apportant de la lumière et du style à votre intérieur.","[""Argenté""]","[{""x_min"":0.1,""y_min"":0.7,""x_max"":0.9,""y_max"":0.9,""confidence"":0.95}]","[{""x_min"":0.85,""y_min"":0.02,""x_max"":0.95,""y_max"":0.12,""confidence"":0.9}]",[],,,,1700.0,0.0,0.95
PHOTO-2026-06-08-15-42-15 3.json,1,1,Lustre suspendu en cristal au design contemporain,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu est conçu avec une structure en métal doré ornée de multiples cristaux colorés, offrant un style moderne et élégant. Idéal pour illuminer un hall d'entrée, un salon ou une salle à manger, il diffuse une lumière chaleureuse et crée une ambiance raffinée. Sa conception décorative et ses couleurs vives apportent une touche de sophistication et de dynamisme à votre intérieur marocain, s'intégrant parfaitement dans un espace contemporain ou éclectique.","[""Doré"",""Rouge"",""Bleu"",""Jaune""]","[{""x_min"":0.05,""y_min"":0.05,""x_max"":0.95,""y_max"":0.15,""confidence"":0.95}]","[{""x_min"":0.9,""y_min"":0.02,""x_max"":1.0,""y_max"":0.1,""confidence"":0.8}]",[],7303,Lustre suspendu en cristal au design contemporain,80×180,5500.0,0.95,0.9
PHOTO-2026-06-08-15-42-15.json,1,1,Lustre suspendu en cristaux lumineux,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu élégant est orné de multiples cristaux transparents et quelques accents de couleurs vertes et rouges, disposés sur une structure en métal doré. Il diffuse une lumière chaleureuse et scintillante, créant une ambiance sophistiquée dans une salle à manger ou un espace de réception. Son style moderne et brillant apporte une touche de luxe et de modernité à votre intérieur marocain.","[""Transparent"",""Vert"",""Rouge"",""Doré""]","[{""x_min"":0.4,""y_min"":0.05,""x_max"":0.6,""y_max"":0.15,""confidence"":0.95},{""x_min"":0.75,""y_min"":0.02,""x_max"":0.9,""y_max"":0.12,""confidence"":0.9}]","[{""x_min"":0.02,""y_min"":0.02,""x_max"":0.2,""y_max"":0.2,""confidence"":0.85}]",[],,,,1050.0,0.8,0.95
PHOTO-2026-06-08-15-42-16 2.json,1,1,Lustre suspendu en cristal doré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design élégant est orné de nombreux cristaux transparents qui diffusent la lumière pour créer une ambiance chaleureuse et sophistiquée. Sa finition en doré accentue son style moderne et luxueux, idéal pour illuminer un salon, une salle à manger ou une entrée. Sa structure légère et ses multiples branches offrent une installation facile tout en apportant une touche de confort et de richesse à votre intérieur marocain contemporain.","[""Transparent"",""Doré""]","[{""x_min"":0.05,""y_min"":0.85,""x_max"":0.95,""y_max"":0.98,""confidence"":0.9}]","[{""x_min"":0.01,""y_min"":0.01,""x_max"":0.15,""y_max"":0.1,""confidence"":0.8}]",[],5018,Lustre en cristal doré,80×180,5500.0,1.0,1.0
PHOTO-2026-06-08-15-42-16 2.json,1,2,Lustre suspendu en cristal doré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design élégant est orné de nombreux cristaux transparents qui diffusent la lumière pour créer une ambiance chaleureuse et sophistiquée. Sa finition en doré accentue son style moderne et luxueux, idéal pour illuminer un salon, une salle à manger ou une entrée. Sa structure légère et ses multiples branches offrent une installation facile tout en apportant une touche de confort et de richesse à votre intérieur marocain contemporain.","[""Transparent"",""Doré""]","[{""x_min"":0.05,""y_min"":0.85,""x_max"":0.95,""y_max"":0.98,""confidence"":0.9}]","[{""x_min"":0.01,""y_min"":0.01,""x_max"":0.15,""y_max"":0.1,""confidence"":0.8}]",[],5018,Lustre en cristal doré,80×180,5500.0,1.0,1.0
PHOTO-2026-06-08-15-42-16 3.json,1,1,Lustre suspendu en cristal coloré,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.","[""Orange"",""Bleu"",""Jaune"",""Rose"",""Turquoise"",""Violet""]","[{""x_min"":0.03,""y_min"":0.02,""x_max"":0.97,""y_max"":0.27,""confidence"":0.95}]","[{""x_min"":0.87,""y_min"":0.02,""x_max"":1.0,""y_max"":0.12,""confidence"":0.8}]","[""Les références exactes des produits ne sont pas détectées.""]",,,,750.0,0.0,0.99
