json_file,source_file,cleaned_file,reference,name,field,reason
PHOTO-2026-06-08-15-42-14 2.json,PHOTO-2026-06-08-15-42-14 2.jpg,photo-2026-06-08-15-42-14-2.jpg,4013,Lustre en métal doré au design contemporain,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-14 2.json / PHOTO-2026-06-08-15-42-14 2.jpg
PHOTO-2026-06-08-15-42-15 2.json,PHOTO-2026-06-08-15-42-15 2.jpg,photo-2026-06-08-15-42-15-2.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-15.json,PHOTO-2026-06-08-15-42-15.jpg,photo-2026-06-08-15-42-15.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 2.json,PHOTO-2026-06-08-15-42-16 2.jpg,photo-2026-06-08-15-42-16-2.jpg,5018,Lustre en cristal doré,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-16 2.json / PHOTO-2026-06-08-15-42-16 2.jpg
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,reference,Référence absente.
PHOTO-2026-06-08-15-42-16 3.json,PHOTO-2026-06-08-15-42-16 3.jpg,photo-2026-06-08-15-42-16-3.jpg,,,warning,Les références exactes des produits ne sont pas détectées.
PHOTO-2026-06-08-15-42-16.json,PHOTO-2026-06-08-15-42-16.jpg,photo-2026-06-08-15-42-16.jpg,7301,Lampe suspendue en verre coloré,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-16.json / PHOTO-2026-06-08-15-42-16.jpg
PHOTO-2026-06-08-15-42-17 4.json,PHOTO-2026-06-08-15-42-17 4.jpg,photo-2026-06-08-15-42-17-4.jpg,7302,Lustre design contemporain,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-17 4.json / PHOTO-2026-06-08-15-42-17 4.jpg
PHOTO-2026-06-08-15-42-17 4.json,PHOTO-2026-06-08-15-42-17 4.jpg,photo-2026-06-08-15-42-17-4.jpg,7302,Lustre design contemporain,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-17 4.json / PHOTO-2026-06-08-15-42-17 4.jpg
PHOTO-2026-06-08-15-42-17 4.json,PHOTO-2026-06-08-15-42-17 4.jpg,photo-2026-06-08-15-42-17-4.jpg,7302,Lustre design contemporain,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-17 4.json / PHOTO-2026-06-08-15-42-17 4.jpg
PHOTO-2026-06-08-15-42-17 4.json,PHOTO-2026-06-08-15-42-17 4.jpg,photo-2026-06-08-15-42-17-4.jpg,7302,Lustre design contemporain,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-17 4.json / PHOTO-2026-06-08-15-42-17 4.jpg
PHOTO-2026-06-08-15-42-17.json,PHOTO-2026-06-08-15-42-17.jpg,photo-2026-06-08-15-42-17.jpg,7302,Lustre suspendu en verre coloré avec structure dorée,reference,Référence dupliquée. Première occurrence : PHOTO-2026-06-08-15-42-17 4.json / PHOTO-2026-06-08-15-42-17 4.jpg
