original_name,detected_extension,image_key,reason,match_v2_reason,match_v2_clean_key,match_v2_candidates
788 6 chaises.png,.png,7886chaises,aucune,ambigu,7886chaises,"[""788"", ""h788-1""]"
D 9901.    #1,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #2,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #3,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
D 9901.    #4,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #1,.png,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #2,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #3,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
d 9901.   #4,.jpg,d9901,aucune,ambigu,d9901,"[""D 9901"", ""d 9901""]"
Flower 1 ( red).jpg,.jpg,flower1red,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
Flower 1 (green).jpg,.jpg,flower1green,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
Flower 1 (light blue).jpg,.jpg,flower1lightblue,aucune,ambigu,flower1light,"[""Flower 1"", ""flower 1""]"
flower 1 (transparent).jpg,.jpg,flower1transparent,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1 (white).jpg,.jpg,flower1white,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1.  (Blue).jpg,.jpg,flower1blue,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1. (Purple).jpg,.jpg,flower1purple,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
flower 1.(yellow).jpg,.jpg,flower1yellow,aucune,ambigu,flower1,"[""Flower 1"", ""flower 1""]"
Flower 3 ( red).jpg,.jpg,flower3red,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (green).jpg,.jpg,flower3green,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (light blue).jpg,.jpg,flower3lightblue,aucune,ambigu,flower3light,"[""Flower 3"", ""flower 3""]"
Flower 3 (purple)(1).jpg,.jpg,flower3purple1,aucune,ambigu,flower31,"[""Flower 3"", ""flower 3""]"
Flower 3 (purple).jpg,.jpg,flower3purple,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3 (transparent)_.jpg,.jpg,flower3transparent,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
flower 3 (yellow).jpg,.jpg,flower3yellow,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
flower 3.  (White).jpg,.jpg,flower3white,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
Flower 3. (Blue).jpg,.jpg,flower3blue,aucune,ambigu,flower3,"[""Flower 3"", ""flower 3""]"
L 2258_grey.   #1,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #2,.png,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #3,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L 2258_grey.   #4,.jpg,l2258grey,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #1,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #2,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #3,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
L2258_white.    #4,.jpg,l2258white,aucune,ambigu,l2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
SC 149(1).png,.png,sc1491,aucune,ambigu,sc1491,"[""149"", ""SC 149""]"
T 2258_white.  #1,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #2,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #3,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T 2258_white.  #4,.png,t2258white,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #1,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #2,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #3,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
T2258_black.   #4,.png,t2258black,aucune,ambigu,t2258,"[""L 2258"", ""L2258"", ""T 2258"", ""T2258""]"
