source_json,input_image,image_index,product_index,old_reference,gpt5_reference,reference_applied,size_csv,size_gpt5,price_csv,price_gpt5,confidence_reference,alignment_score,accepted,evidence,warnings
PHOTO-2026-06-08-15-41-30.json,input_images\PHOTO-2026-06-08-15-41-30.jpg,1,1,5969,5969,5969,,,680.0,680 dh,0.86,100.0,Oui,Encadré rouge en haut à droite : '5969' au-dessus de '680 dh'.,[]
PHOTO-2026-06-08-15-42-14 2.json,input_images\PHOTO-2026-06-08-15-42-14 2.jpg,1,2,4013,SR 4013/80,SR 4013/80,,80,2850.0,2850dh,0.99,110.0,Oui,"Cartouche rouge en bas à gauche, 2e ligne",[]
PHOTO-2026-06-08-15-42-14 2.json,input_images\PHOTO-2026-06-08-15-42-14 2.jpg,1,1,4013,SR 4013/60,SR 4013/60,,60,1850.0,1850 dh,0.99,110.0,Oui,"Cartouche rouge en bas à gauche, 1re ligne",[]
PHOTO-2026-06-08-15-42-14.json,input_images\PHOTO-2026-06-08-15-42-14.jpg,1,1,1167/65,SR 1167/65,SR 1167/65,,65,850.0,850 dh.,0.98,100.0,Oui,Encadré rouge en haut à droite,[]
PHOTO-2026-06-08-15-42-15 2.json,input_images\PHOTO-2026-06-08-15-42-15 2.jpg,1,1,,3029/90×35,3029/90×35,,90×35,1700.0,1700 dh,0.98,100.0,Oui,Encadré violet en bas à gauche,[]
PHOTO-2026-06-08-15-42-15.json,input_images\PHOTO-2026-06-08-15-42-15.jpg,1,1,,5021/50,5021/50,,,1050.0,1050 dh,0.97,100.0,Oui,Encadré violet en haut à droite : '5021/50 1050 dh',[]
PHOTO-2026-06-08-15-42-16 3.json,input_images\PHOTO-2026-06-08-15-42-16 3.jpg,1,5,,7301/120L,7301/120L,120L,120L,1700.0,1700 dh,0.99,160.0,Oui,"Encadré violet haut gauche, ligne 5","[""Des points finaux apparaissent après 40 et 80; supposés ne pas faire partie des références.""]"
PHOTO-2026-06-08-15-42-16 3.json,input_images\PHOTO-2026-06-08-15-42-16 3.jpg,1,4,,7301/100,7301/100,,100,2300.0,2300 dh,0.99,100.0,Oui,"Encadré violet haut gauche, ligne 4","[""Des points finaux apparaissent après 40 et 80; supposés ne pas faire partie des références.""]"
PHOTO-2026-06-08-15-42-16 3.json,input_images\PHOTO-2026-06-08-15-42-16 3.jpg,1,3,,7301/80,7301/80,,80,1700.0,1700 dh,0.97,100.0,Oui,"Encadré violet haut gauche, ligne 3","[""Des points finaux apparaissent après 40 et 80; supposés ne pas faire partie des références.""]"
PHOTO-2026-06-08-15-42-16 3.json,input_images\PHOTO-2026-06-08-15-42-16 3.jpg,1,2,,7301/60,7301/60,,60,1100.0,1100 dh,0.99,100.0,Oui,"Encadré violet haut gauche, ligne 2","[""Des points finaux apparaissent après 40 et 80; supposés ne pas faire partie des références.""]"
PHOTO-2026-06-08-15-42-16 3.json,input_images\PHOTO-2026-06-08-15-42-16 3.jpg,1,1,,7301/40,7301/40,,40,750.0,750 dh,0.97,100.0,Oui,"Encadré violet haut gauche, ligne 1","[""Des points finaux apparaissent après 40 et 80; supposés ne pas faire partie des références.""]"
PHOTO-2026-06-08-15-42-17 3.json,input_images\PHOTO-2026-06-08-15-42-17 3.jpg,1,3,8338/80,8338/80×30,8338/80×30,30,80×30,1200.0,1200 dh,0.98,145.0,Oui,Bloc violet en bas à gauche,"[""Les points finaux après les codes semblent typographiques et ont été ignorés dans les références.""]"
PHOTO-2026-06-08-15-42-17 3.json,input_images\PHOTO-2026-06-08-15-42-17 3.jpg,1,2,8338/55,8338/55,8338/55,,55,1100.0,1100 dh,0.98,125.0,Oui,Bloc violet en bas à gauche,"[""Les points finaux après les codes semblent typographiques et ont été ignorés dans les références.""]"
PHOTO-2026-06-08-15-42-17 3.json,input_images\PHOTO-2026-06-08-15-42-17 3.jpg,1,1,8338/45,8338/45,8338/45,,45,790.0,790 dh,0.98,125.0,Oui,Bloc violet en bas à gauche,"[""Les points finaux après les codes semblent typographiques et ont été ignorés dans les références.""]"
PHOTO-2026-06-08-15-42-18 2.json,input_images\PHOTO-2026-06-08-15-42-18 2.jpg,1,2,9028/60,9028/40,9028/40,60,40,580.0,480dh,0.99,100.0,Oui,Étiquette violette en bas à gauche : '9028/40 480dh'.,[]
PHOTO-2026-06-08-15-42-18 3.json,input_images\PHOTO-2026-06-08-15-42-18 3.jpg,1,2,81025/80,81025/80,81025/80,,,5800.0,5800 dh,0.99,125.0,Oui,"Encadré violet en haut à droite, 2e ligne",[]
PHOTO-2026-06-08-15-42-18 3.json,input_images\PHOTO-2026-06-08-15-42-18 3.jpg,1,1,81025/6,81025/6,81025/6,,,3950.0,3950 dh,0.99,125.0,Oui,"Encadré violet en haut à droite, 1re ligne",[]
PHOTO-2026-06-08-15-42-18 5.json,input_images\PHOTO-2026-06-08-15-42-18 5.jpg,1,4,7001/100,7001/100,7001/100,100cm,100,1450.0,1450 dh,0.99,160.0,Oui,Encadré violet bas-gauche : '7001/100  1450 dh',[]
PHOTO-2026-06-08-15-42-18 5.json,input_images\PHOTO-2026-06-08-15-42-18 5.jpg,1,3,7001/80,7001/80,7001/80,80cm,80,1050.0,1050 dh,0.99,160.0,Oui,Encadré violet bas-gauche : '7001/80  1050 dh',[]
PHOTO-2026-06-08-15-42-18 5.json,input_images\PHOTO-2026-06-08-15-42-18 5.jpg,1,2,7001/60,7001/60,7001/60,60cm,60,650.0,650 dh,0.99,160.0,Oui,Encadré violet bas-gauche : '7001/60  650 dh',[]
PHOTO-2026-06-08-15-42-18 5.json,input_images\PHOTO-2026-06-08-15-42-18 5.jpg,1,1,7001/40,7001/40,7001/40,40cm,40,480.0,480 dh,0.99,160.0,Oui,Encadré violet bas-gauche : '7001/40  480 dh',[]
PHOTO-2026-06-08-15-42-18 5.json,input_images\PHOTO-2026-06-08-15-42-18 5.jpg,1,5,7001/120,7001/120L,7001/120L,120cm,120L,1100.0,1100 dh,0.99,110.0,Oui,Encadré violet bas-gauche : '7001/120L  1100 dh',[]
PHOTO-2026-06-08-15-42-18 7.json,input_images\PHOTO-2026-06-08-15-42-18 7.jpg,1,5,7003/120L,7003/120L,7003/120L,120L,120L,1280.0,1280 dh,0.98,180.0,Oui,"Bloc violet en bas à gauche, ligne '7003/120L  1280 dh'.",[]
PHOTO-2026-06-08-15-42-18 7.json,input_images\PHOTO-2026-06-08-15-42-18 7.jpg,1,4,7003/100,7003/100,7003/100,100,100,1350.0,1350 dh,0.99,180.0,Oui,"Bloc violet en bas à gauche, ligne '7003/100  1350 dh'.",[]
PHOTO-2026-06-08-15-42-18 7.json,input_images\PHOTO-2026-06-08-15-42-18 7.jpg,1,3,7003/80,7003/80,7003/80,80,80,1050.0,1050 dh,0.99,180.0,Oui,"Bloc violet en bas à gauche, ligne '7003/80  1050 dh'.",[]
PHOTO-2026-06-08-15-42-18 7.json,input_images\PHOTO-2026-06-08-15-42-18 7.jpg,1,2,7003/60,7003/60,7003/60,60,60,650.0,650 dh,0.99,180.0,Oui,"Bloc violet en bas à gauche, ligne '7003/60  650 dh'.",[]
PHOTO-2026-06-08-15-42-19 3.json,input_images\PHOTO-2026-06-08-15-42-19 3.jpg,1,2,3029/60,3029/60.,3029/60.,,60,1150.0,1150 dh,0.95,125.0,Oui,"Bloc violet en bas à gauche, 2e ligne : '3029/60.   1150 dh'.","[""La seconde référence comporte un point final tel qu’affiché : '3029/60.'""]"
PHOTO-2026-06-08-15-42-19 3.json,input_images\PHOTO-2026-06-08-15-42-19 3.jpg,1,1,3029/40,3029/40,3029/40,,40,690.0,690 dh,0.98,125.0,Oui,"Bloc violet en bas à gauche, 1re ligne : '3029/40   690 dh'.","[""La seconde référence comporte un point final tel qu’affiché : '3029/60.'""]"
PHOTO-2026-06-08-15-42-19 6.json,input_images\PHOTO-2026-06-08-15-42-19 6.jpg,1,2,6126/6,6126/6,6126/6,,,650.0,650 dh,0.99,120.0,Oui,Texte rouge à droite '6126/6' au-dessus du prix violet '650 dh'.,[]
PHOTO-2026-06-08-15-47-01 3.json,input_images\PHOTO-2026-06-08-15-47-01 3.jpg,1,1,L021/5,L021/5,L021/5,,,850.0,850dh,0.9,125.0,Oui,Encadré jaune en bas à droite affichant: L021/5 850dh,"[""Ambiguïté possible sur le caractère après 'L' (0 zéro ou O). Lecture retenue : L021/5.""]"
PHOTO-2026-06-08-15-47-01 3.json,input_images\PHOTO-2026-06-08-15-47-01 3.jpg,1,2,,,,,,,,,,Non,,"[""Ambiguïté possible sur le caractère après 'L' (0 zéro ou O). Lecture retenue : L021/5."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-02 2.json,input_images\PHOTO-2026-06-08-15-47-02 2.jpg,1,2,,L012/6,L012/6,,,,1050dh,0.94,100.0,Oui,Cartouche jaune en bas à droite : « L012/6 1050dh »,"[""Logo commercial « Rim Cristal » ignoré (règle 8).""]"
PHOTO-2026-06-08-15-47-02 4.json,input_images\PHOTO-2026-06-08-15-47-02 4.jpg,1,1,L019/6,L019/6,L019/6,,,1050.0,1050dh,0.96,100.0,Oui,"Encadré jaune en bas à droite indiquant : ""L019/6 1050dh""",[]
PHOTO-2026-06-08-15-47-02 5.json,input_images\PHOTO-2026-06-08-15-47-02 5.jpg,1,2,,Y001/6,Y001/6,,,,580dh,0.97,100.0,Oui,Encart jaune en bas à droite avec 'Y001/6' et '580dh'.,[]
PHOTO-2026-06-08-15-47-02 6.json,input_images\PHOTO-2026-06-08-15-47-02 6.jpg,1,1,,Y097/5,Y097/5,,,580.0,580dh,0.98,100.0,Oui,"Etiquette jaune en bas à droite : ""Y097/5 580dh""","[""Logo et nom de marque ignorés (règle 8). Aucune taille/dimension lisible.""]"
PHOTO-2026-06-08-15-47-02 6.json,input_images\PHOTO-2026-06-08-15-47-02 6.jpg,1,2,,,,,,,,,,Non,,"[""Logo et nom de marque ignorés (règle 8). Aucune taille/dimension lisible."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-03 3.json,input_images\PHOTO-2026-06-08-15-47-03 3.jpg,1,1,,5585,5585,,,480.0,480 dh,0.95,100.0,Oui,Étiquette jaune en haut à gauche avec 5585 (ligne 1) et 480 dh (ligne 2).,"[""Nombre 35 blanc en haut ignoré car non identifiable comme référence ou prix.""]"
PHOTO-2026-06-08-15-47-03 3.json,input_images\PHOTO-2026-06-08-15-47-03 3.jpg,1,2,,,,,,,,,,Non,,"[""Nombre 35 blanc en haut ignoré car non identifiable comme référence ou prix."", ""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
PHOTO-2026-06-08-15-47-04 5.json,input_images\PHOTO-2026-06-08-15-47-04 5.jpg,1,1,,d 206,,,,385.0,385 dh,0.66,100.0,Non,étiquette jaune en bas à gauche,"[""Le texte « d 206 » pourrait être une dimension et non une référence; aucune autre référence lisible.""]"
PHOTO-2026-06-08-15-47-05 3.json,input_images\PHOTO-2026-06-08-15-47-05 3.jpg,1,1,,d 004,d 004,,,390.0,390 dh,0.9,100.0,Oui,Encadré jaune en bas à gauche : “d 004” au-dessus de “390 dh”.,[]
PHOTO-2026-06-08-15-47-05.json,input_images\PHOTO-2026-06-08-15-47-05.jpg,1,1,,,,,d 205,380.0,380 dh,0.1,100.0,Non,Aucune référence visible; encadré jaune en bas à droite « d 205 380 dh »,"[""Aucune référence commerciale lisible sur l'image."", ""Logo/marque ignorés conformément à la règle 8.""]"
PHOTO-2026-06-08-15-47-06 2.json,input_images\PHOTO-2026-06-08-15-47-06 2.jpg,1,1,,d006,d006,,,290.0,290 dh,0.96,100.0,Oui,Encadré jaune en bas à gauche : « d006 290 dh »,[]
PHOTO-2026-06-08-15-47-06 4.json,input_images\PHOTO-2026-06-08-15-47-06 4.jpg,1,1,233,,,,d 233,390.0,390 dh,0.1,100.0,Non,Étiquette blanche sur la lampe gauche (illisible); pastille jaune 'd 233 390 dh',"[""Références trop petites/illisibles sur les étiquettes pendantes."", ""La pastille 'd 233 390 dh' est interprétée comme taille et prix; impossible d’associer avec certitude aux deux variantes.""]"
PHOTO-2026-06-08-15-47-06 4.json,input_images\PHOTO-2026-06-08-15-47-06 4.jpg,1,2,,,,,,,,0.1,20.0,Non,Étiquette blanche/rouge sur la lampe droite (illisible),"[""Références trop petites/illisibles sur les étiquettes pendantes."", ""La pastille 'd 233 390 dh' est interprétée comme taille et prix; impossible d’associer avec certitude aux deux variantes.""]"
PHOTO-2026-06-08-15-47-06.json,input_images\PHOTO-2026-06-08-15-47-06.jpg,1,1,,d 224,d 224,,,28.5,285 dh,0.86,100.0,Oui,Encadré jaune en bas à gauche : 'd 224' au-dessus de '285 dh'.,[]
PHOTO-2026-06-08-15-47-08 2.json,input_images\PHOTO-2026-06-08-15-47-08 2.jpg,1,1,,MX 65/6,MX 65/6,,,1200.0,1200 dh,0.98,100.0,Oui,Encart jaune en bas à gauche,[]
PHOTO-2026-06-08-15-47-08 2.json,input_images\PHOTO-2026-06-08-15-47-08 2.jpg,1,2,,,,,,,,,,Non,,"[""Aucun produit GPT-5 aligné avec cette ligne CSV.""]"
