original_name,detected_extension,matched_reference,match_method,reason
077_.png,.png,077.,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
09865_9R.  #1,.png,09865/9R,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
09865_9R.  #2,.png,09865/9R,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
09865_9R.  #3,.png,09865/9R,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
09865_9R.  #4,.png,09865/9R,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
118.png,.png,118,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
11813_1 bk. #1,.jpg,11813/1 bk,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
11813_1 bk. #2,.jpg,11813/1 bk,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
11813_1 bk. #3,.jpg,11813/1 bk,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
11813_1 bk. #4,.jpg,11813/1 bk,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
12209.    #1,.jpg,12209,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
12209.    #2,.jpg,12209,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
12209.    #3,.jpg,12209,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
12209.    #4,.jpg,12209,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
131.png,.png,131,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
1701.  #1,.jpg,1701,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
1701.  #2,.jpg,1701,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
1701.  #3,.jpg,1701,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
1701.  #4,.jpg,1701,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
171_90.jpg,.jpg,171/90,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
173_.jpg,.jpg,173.,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2026 F   #1.png,.png,2026 F,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2026 F   #2.png,.png,2026 F,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2026 F   #3.png,.png,2026 F,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2026 F   #4.png,.png,2026 F,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2101_.png,.png,2101.,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2128_3-1-2-3.jpg,.jpg,2128/3-1-2-3,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
21804.png,.png,21804,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
222.png,.png,222,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_ grey and white. #1,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_ grey and white. #2,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_ grey and white. #3,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_ grey and white. #4,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_grey.   #1,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_grey.   #2,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_grey.   #3,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_grey.   #4,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_white.   #1,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_white.   #2,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_white.   #3,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2233_white.   #4,.png,2233,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2309.jpg,.jpg,2309,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2310.png,.png,2310,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2377.png,.png,2377,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2408.png,.png,2408,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2442.   #1,.jpg,2442,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2442.   #2,.jpg,2442,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2442.   #3,.jpg,2442,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2442.   #4,.jpg,2442,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2443.   #1,.jpg,2443,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2443.   #2,.jpg,2443,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2443.   #3,.jpg,2443,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2443.   #4,.png,2443,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2462 (purple).jpg,.jpg,2462,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2462 (yellow).jpg,.jpg,2462,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2503 (black).png,.png,2503,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2503 (white).jpg,.jpg,2503,exact-sans-couleur,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2557.jpg,.jpg,2557,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2569.png,.png,2569,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2570.jpg,.jpg,2570,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
2572.jpg,.jpg,2572,exact-normalise,"Correspondance produit trouvée, mais fichier image introuvable dans le dossier destination"
