name,slug,reference,marque,rubrique,categorie,famille,description,url_image1,url_image2,url_image3,url_image4,url_image5,price,colors,stock,weight,badge,is_active,is_featured,is_new,is_bestseller,rating,reviews_count,category_slug,subcategory_slug,care_instructions,origin_country,collection_name,seo_title,seo_description,price_wholesale,wholesale_min_qty,is_available_on_site,has_color_variants,width_cm,depth_cm,height_cm
Luminaire LED en cercle moderne,luminaire-led-en-cercle-moderne-5969,5969,,Luminaires > Luminaires suspendus > Lustres,Lustres,,"Ce luminaire suspendu moderne se caractérise par ses anneaux lumineux en forme de cercles concentriques, apportant une touche élégante et contemporaine à l’espace intérieur. Idéal pour embellir un salon, une salle à manger ou une entrée, il diffuse une lumière douce et harmonieuse, créant une ambiance chaleureuse. Sa structure épurée et ses lignes fluides en font une pièce décorative à part entière, apportant style et luminosité à votre décor marocain moderne.",/uploads/products/5969-001.png,/uploads/products/5969-002.png,/uploads/products/5969-003.png,/uploads/products/5969-004.png,,680.00,"[""Blanc""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Luminaire LED en cercle moderne,"Ce luminaire suspendu moderne se caractérise par ses anneaux lumineux en forme de cercles concentriques, apportant une touche élégante et contemporaine à l’espace intérieur. Idéal pour embellir un salon, une salle à manger ou une entrée, il diffuse une lumière douce et harmonieuse, créant une ambian",0,1,true,false,,,
Lustre en métal doré au design contemporain,lustre-en-metal-dore-au-design-contemporain-sr-4013-60,SR 4013/60,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réception, ce luminaire diffuse une lumière chaleureuse et crée une ambiance accueillante et tendance. Sa composition en disques de différentes tailles offre un effet visuel dynamique, faisant de cette pièce un véritable objet de décoration autant qu’un source de lumière fonctionnelle.",,,,,,1850.00,"[""Doré"", ""Noir""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en métal doré au design contemporain,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réc",0,1,true,false,,,
Lustre en métal doré au design contemporain,lustre-en-metal-dore-au-design-contemporain-sr-4013-80,SR 4013/80,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réception, ce luminaire diffuse une lumière chaleureuse et crée une ambiance accueillante et tendance. Sa composition en disques de différentes tailles offre un effet visuel dynamique, faisant de cette pièce un véritable objet de décoration autant qu’un source de lumière fonctionnelle.",,,,,,2850.00,"[""Doré"", ""Noir""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en métal doré au design contemporain,"Ce lustre suspendu présente un design contemporain avec une structure en métal doré ornée de multiples disques décoratifs dorés et noirs. Sa finition raffinée et son design élégant apportent une touche sophistiquée à tout intérieur moderne. Idéal pour un salon, une salle à manger ou un espace de réc",0,1,true,false,,,
Lustre moderne en métal et verre,lustre-moderne-en-metal-et-verre-sr-1167-65,SR 1167/65,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu présente une structure moderne avec un design élégant composé de nombreuses tiges métalliques dorées et de disques en verre de différentes tailles. Il diffuse une lumière chaleureuse et décorative, idéale pour mettre en valeur un espace de réception ou un salon sophistiqué. Sa finition métallique dorée et ses éléments en verre confèrent un style contemporain et raffiné à tout intérieur marocain contemporain.",/uploads/products/sr-1167-65-001.png,/uploads/products/sr-1167-65-002.png,/uploads/products/sr-1167-65-003.png,/uploads/products/sr-1167-65-004.png,,850.00,"[""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre moderne en métal et verre,"Ce lustre suspendu présente une structure moderne avec un design élégant composé de nombreuses tiges métalliques dorées et de disques en verre de différentes tailles. Il diffuse une lumière chaleureuse et décorative, idéale pour mettre en valeur un espace de réception ou un salon sophistiqué. Sa fin",0,1,true,false,,,
Lustre chandelier en cristal,lustre-chandelier-en-cristal-3029-90-35,3029/90×35,,Décoration,Lustre,,"Ce lustre suspendu en cristal sophistiqué ajoute une touche d'élégance et de luxe à tout espace intérieur. Il présente une structure métallique supportant de nombreux pendentifs en cristal taillé qui diffusent la lumière avec éclat, créant une ambiance chaleureuse et raffinée dans un salon, une salle à manger ou une entrée. Son design classique et ses cristaux brillants en font une pièce maîtresse idéale pour valoriser une décoration intérieure sophistiquée ou contemporaine, apportant de la lumière et du style à votre intérieur.",/uploads/products/3029-90-35-001.png,/uploads/products/3029-90-35-002.png,/uploads/products/3029-90-35-003.png,/uploads/products/3029-90-35-004.png,,1700.00,"[""Argenté""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre chandelier en cristal,"Ce lustre suspendu en cristal sophistiqué ajoute une touche d'élégance et de luxe à tout espace intérieur. Il présente une structure métallique supportant de nombreux pendentifs en cristal taillé qui diffusent la lumière avec éclat, créant une ambiance chaleureuse et raffinée dans un salon, une sall",0,1,true,false,,,
Lustre suspendu en cristal au design contemporain,lustre-suspendu-en-cristal-au-design-contemporain-7303,7303,,Luminaires > Luminaires suspendus > Lustres,,,"Ce lustre suspendu est conçu avec une structure en métal doré ornée de multiples cristaux colorés, offrant un style moderne et élégant. Idéal pour illuminer un hall d'entrée, un salon ou une salle à manger, il diffuse une lumière chaleureuse et crée une ambiance raffinée. Sa conception décorative et ses couleurs vives apportent une touche de sophistication et de dynamisme à votre intérieur marocain, s'intégrant parfaitement dans un espace contemporain ou éclectique.",/uploads/products/7303-001.png,/uploads/products/7303-002.png,/uploads/products/7303-003.png,/uploads/products/7303-004.png,,5500.00,"[""Doré"", ""Rouge"", ""Bleu"", ""Jaune""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal au design contemporain,"Ce lustre suspendu est conçu avec une structure en métal doré ornée de multiples cristaux colorés, offrant un style moderne et élégant. Idéal pour illuminer un hall d'entrée, un salon ou une salle à manger, il diffuse une lumière chaleureuse et crée une ambiance raffinée. Sa conception décorative et",0,1,true,false,80,,180
Lustre suspendu en cristaux lumineux,lustre-suspendu-en-cristaux-lumineux-5021-50,5021/50,,Luminaires > Luminaires suspendus > Lustres,Luminaires,,"Ce lustre suspendu élégant est orné de multiples cristaux transparents et quelques accents de couleurs vertes et rouges, disposés sur une structure en métal doré. Il diffuse une lumière chaleureuse et scintillante, créant une ambiance sophistiquée dans une salle à manger ou un espace de réception. Son style moderne et brillant apporte une touche de luxe et de modernité à votre intérieur marocain.",/uploads/products/5021-50-001.png,/uploads/products/5021-50-002.png,/uploads/products/5021-50-003.png,/uploads/products/5021-50-004.png,,1050.00,"[""Transparent"", ""Vert"", ""Rouge"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristaux lumineux,"Ce lustre suspendu élégant est orné de multiples cristaux transparents et quelques accents de couleurs vertes et rouges, disposés sur une structure en métal doré. Il diffuse une lumière chaleureuse et scintillante, créant une ambiance sophistiquée dans une salle à manger ou un espace de réception. S",0,1,true,false,,,
Lustre en cristal doré,lustre-en-cristal-dore-5018,5018,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustres,"Ce lustre suspendu au design élégant est orné de nombreux cristaux transparents qui diffusent la lumière pour créer une ambiance chaleureuse et sophistiquée. Sa finition en doré accentue son style moderne et luxueux, idéal pour illuminer un salon, une salle à manger ou une entrée. Sa structure légère et ses multiples branches offrent une installation facile tout en apportant une touche de confort et de richesse à votre intérieur marocain contemporain.",/uploads/products/5018-001.jpg,/uploads/products/5018-002.png,/uploads/products/5018-003.png,/uploads/products/5018-004.png,/uploads/products/5018-005.png,5500.00,"[""Transparent"", ""Doré""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre en cristal doré,"Ce lustre suspendu au design élégant est orné de nombreux cristaux transparents qui diffusent la lumière pour créer une ambiance chaleureuse et sophistiquée. Sa finition en doré accentue son style moderne et luxueux, idéal pour illuminer un salon, une salle à manger ou une entrée. Sa structure légèr",0,1,true,false,80,,180
Lustre suspendu en cristal coloré,lustre-suspendu-en-cristal-colore-7301-40,7301/40,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.",,,,,,750.00,"[""Orange"", ""Bleu"", ""Jaune"", ""Rose"", ""Turquoise"", ""Violet""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal coloré,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour le",0,1,true,false,,,
Lustre suspendu en cristal coloré,lustre-suspendu-en-cristal-colore-7301-60,7301/60,,Luminaires > Luminaires suspendus > Lustres,Luminaires,Lustre,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour les salons, salles à manger ou espaces de réception, il apporte une touche de luxe et de couleur à votre intérieur marocain contemporain.",,,,,,1100.00,"[""Orange"", ""Bleu"", ""Jaune"", ""Rose"", ""Turquoise"", ""Violet""]",10000,,,true,false,false,false,0,0,luminaires,suspensions,,,,Lustre suspendu en cristal coloré,"Ce chandelier suspendu élégant se compose d'une structure en métal doré avec de multiples branches ornées de longs cristaux colorés en verre. Son design moderne et sophistiqué diffuse une lumière chaleureuse, rendant votre espace de vie ou salle à manger plus accueillant et lumineux. Parfait pour le",0,1,true,false,,,
